s,C,m/s,mol/mol,mol/mol,mol/mol,mol/mol,,kW,kg/s
Time,Ttop,v_top,Xair_top,Xo2_top,Xco_top,X_C2H60_top,Xs_top,HRR,BURN_RATE
2.11E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.16E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.21E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.26E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.30E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.35E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.40E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.45E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.50E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.54E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.59E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.64E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.69E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.74E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.78E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.83E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.88E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.93E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
2.98E+001,4.84E+001,2.07E-001,9.77E-001,2.05E-001,3.31E-003,0.00E+000,6.19E-008,1.79E-003,1.20E-007
